route_id,service_id,trip_id,trip_headsign,"trip_short_name",direction_id,block_id,shape_id
"34_1207","everyday","6290",,,,,"34_1207"
"34_1207","everyday","6291",,,,,"34_1207"
"32_37","everyday","3700",,,,,"32_37"
"32_37","everyday","3752",,,,,"32_37"
"32_37","6","4712",,,,,"32_37"
"32_37","233","4713",,,,,"32_37"
"32_37","everyday","4714",,,,,"32_37"
"32_37","233","4715",,,,,"32_37"
"32_37","233","4716",,,,,"32_37"
"32_1200","everyday","5183",,,,,"32_1200"
"32_1200","7","5184",,,,,"32_1200"
"32_1200","6","5185",,,,,"32_1200"
"32_1200","everyday","5186",,,,,"32_1200"
"32_1200","6","5187",,,,,"32_1200"
"32_1200","everyday","5188",,,,,"32_1200"
"32_1200","233","5189",,,,,"32_1200"
"32_1200","everyday","5190",,,,,"32_1200"
"32_1200","233","5191",,,,,"32_1200"
"32_1200","233","5192",,,,,"32_1200"
"24_25","everyday","2927",,,,,"24_25"
"24_25","everyday","2929",,,,,"24_25"
"24_25","everyday","2931",,,,,"24_25"
"24_25","everyday","2933",,,,,"24_25"
"24_25","4","3820",,,,,"24_25"
"24_25","4","3821",,,,,"24_25"
"24_25","4","3822",,,,,"24_25"
"24_25","4","3823",,,,,"24_25"
"24_25","4","3824",,,,,"24_25"
"24_1199","4","5146",,,,,"24_1199"
"24_1199","everyday","5147",,,,,"24_1199"
"24_1199","4","5148",,,,,"24_1199"
"24_1199","everyday","5149",,,,,"24_1199"
"24_1199","4","5150",,,,,"24_1199"
"24_1199","everyday","5151",,,,,"24_1199"
"24_1199","4","5152",,,,,"24_1199"
"24_1199","everyday","5153",,,,,"24_1199"
"24_1199","4","5154",,,,,"24_1199"
"16_11","everyday","4206",,,,,"16_11"
